assistid,mrscid,mrsname,cumatrixid,cumatrixtitle,cumatrixgrpids,timestamp,logdate
ai_tw,4D013708,VK,00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,"['tech_tw', 'robot_tw']",1562569546493,2019-07-08
ai_tw,4D013708,VK,000001697FB74EB0000000026375706F795F72656C656173654355,李宏毅_強化學習（Reinforce Learning）,"['tech_tw', 'robot_tw']",1562569439862,2019-07-08
ai_tw,BD812293,龍庭軒,00000168FF4AF517000000036375706F795F72656C656173654355,林軒田_機器學習技法 Machine Learning Techniques,"['tech_tw', 'robot_tw']",1562744056811,2019-07-10
ai_tw,empty,空的,000001658F0C5812000000016375706F795F70726572656C656173654355,莫煩_Python3 網頁爬蟲教學,"['tech_tw', 'robot_tw']",1562941728429,2019-07-12
