mrscid,mrsname,cumatrixid,cumatrixtitle,cumatrixgrpids,cumatrixtags,posterid,timestamp,logdate
11813021,xinu,00000159FD44F23D000000046375706F795F70726572656C656173654355,走近2050：注意力、互聯網與人工智能,"['tech_tw', 'robot_tw']","['AI', '人工智能', '未來科技']",97210140,1562254427246,2019-07-04
CB611244,Grammar,0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,1562292054750,2019-07-05
C3411361,張天陽,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562321762277,2019-07-05
C3411361,張天陽,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562323274258,2019-07-05
empty,空的,0000015C3B1ED81B0000000A6375706F795F72656C656173654355,啾啾鞋-啾讀,"['Reading_tw', 'ReadNovel_tw']","['書籍', '說書', '閱讀']",97210140,1562382912905,2019-07-06
