mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketgrptitles,bucketids,influencerids,timestamp,logdate
empty,空的,68747470733A2F2F746563686E6577732E74772F323031392F30362F32392F7468652D66697273742D61692D63617061626C652D6F662D73696D756C6174696E672D7468652D756E6976657273652D776F726B732D736F2D77656C6C2D6974732D73636172792F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,首個 AI 宇宙模擬器面世，效果令人驚訝 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']","['3C達人', '科技']",['robot_tw'],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],1561907345160,2019-06-30
empty,空的,68747470733A2F2F756E776972652E70726F2F323031392F30362F33302F61692D322F636F6C756D6E6973742F,如何設計可持續的人工智能工作間 - UNWIRE.PRO,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['職場白領', '商業', '科技']","['career_tw', 'management_tw', 'robot_tw']",['0000016140DF984F000000026375706F795F72656C65617365494E464C55'],1561907303852,2019-06-30
empty,空的,68747470733A2F2F7777772E636F6F6C33632E636F6D2F61727469636C652F313435343532,Google母公司旗下自駕車新創Waymo 吸收AI玩具車Anki核心技術人員 推動自動駕駛卡車發展 (145452) - 癮科技 Cool3c,['tech_tw'],['科技'],"['UAS_tw', 'robot_tw']",['00000152A69855D6000000066261636B656E645F6C6F63616C494E464C55'],1561907481191,2019-06-30
empty,空的,68747470733A2F2F7777772E63772E636F6D2E74772F61727469636C652F61727469636C652E616374696F6E3F69643D353039353631302675746D5F63616D706169676E3D66625F63772D736F6369616C2D6461696C792675746D5F6D656469756D3D736F6369616C2675746D5F736F757263653D66625F6377,臺灣產業發展人工智慧　三大方向可參考｜經營管理｜管理｜2019-06-14｜天下雜誌出版｜天下雜誌,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['職場白領', '商業', '科技']","['management_tw', 'robot_tw']",['00000162CCA9293D000000016375706F795F72656C65617365494E464C55'],1561907334462,2019-06-30
empty,空的,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31363735392D74696D652D6E65772D7472616E7369742D757064617465732D676F6F676C652D6D617073,用 AI 更精準預測！Google 地圖兩大新功能：車廂擁擠提醒、即時公車延誤時間 - INSIDE,['tech_tw'],['科技'],"['GoogleZone_tw', 'robot_tw']",['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55'],1561909099651,2019-06-30
C4410729,陳彥吉,68747470733A2F2F7777772E6974686F6D652E636F6D2E74772F6E6577732F313331353337,一週大事：靠AI判讀腦出血CT不用30秒。日本樂天公開在臺純網銀戰略 | iThome,['tech_tw'],['科技'],"['BlockChain_tw', 'info_security_tw']",['000001579E138131000000476375706F795F72656C65617365494E464C55'],1561884722681,2019-06-30
C4410729,陳彥吉,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30362D33302D33,7 Papers | 深度強化學習綜述、圖靈71年前未發表的智能機器論文 | 機器之心,['tech_tw'],['科技'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1561884685869,2019-06-30
C4410729,陳彥吉,68747470733A2F2F7777772E736D6172746D2E636F6D2E74772F61727469636C652F3335333133393330636561333F6662636C69643D497741523156434568486D316B2D765733536F3769474476617861532D356C6A70716B526842646D71444D7569415F6B574A44664D4672785036583459,捷運站買蛋糕？亞尼克無人商店的背後算盤 | SmartM 新網路科技,"['WhiteCollar_tw', 'business_tw']","['職場白領', '商業']",['marketing_tw'],['00000157E6267A970000000B6375706F795F72656C65617365494E464C55'],1561903612832,2019-06-30
empty,空的,68747470733A2F2F7777772E7465636862616E672E636F6D2F706F7374732F37313131372D3131352D79656172732D61667465722D6465767A616B732D64656174682D61692D636F6E74696E7565732D746F2D636F6D706C6574652D6869732D756E66696E69736865642D776F726B2D616E642D77696C6C2D62652D706572666F726D65642D62792D612D6C6976652D6F72636865737472613F66726F6D3D686F6D655F6E657773,德弗札克去世115年後，AI續譜完了他未完成的作品並將由真人管絃樂團演出 | T客邦,['tech_tw'],['科技'],['robot_tw'],['00000153074728ED0000000D6261636B656E645F6C6F63616C494E464C55'],1561907472476,2019-06-30
empty,空的,68747470733A2F2F6368696E6573652E656E6761646765742E636F6D2F323031392F30372F30312F617375732D7A656E666F6E652D362D7265697665772F,華碩 ZenFone 6 評測：給硬派的手機,['empty'],['空的'],['empty'],['000001579D7E5CCB000000036375706F795F72656C65617365494E464C55'],1561972384416,2019-07-01
01313339,Jimmy Chang,68747470733A2F2F696E666F2E62616279686F6D652E636F6D2E74772F61727469636C652F32303538333F75746D5F736F757263653D66622675746D5F6D656469756D3D303633305F313830305F706F73742675746D5F63616D706169676E3D696E666F,黃殼蛋比白殼蛋營養？營養師這樣說 - BabyHome 新知大耳朵,"['Babyhome_tw', 'life_tw']","['親子家庭', '生活']",[],['00000158049D6E930000000D6375706F795F72656C65617365494E464C55'],1561950807544,2019-07-01
empty,空的,68747470733A2F2F746563686E6577732E74772F323031392F30362F32352F7869616F6D692D6D692D62616E642D342D696E2D74616977616E2F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,小米新品發表，小米手環 4 領軍 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']","['3C達人', '科技']",['3c_tw'],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],1561971220093,2019-07-01
B0310653,Floyd,68747470733A2F2F746563686E6577732E74772F323031392F30362F32382F676F6F676C652D6D6170732D6E65772D61692D707265646963742D686F772D63726F77642D7468652D636F6D6D7574652D6C696E652D69732F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,Google 地圖 AI 新功能，預測通勤路線擁擠程度及班次延遲情形 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']","['3C達人', '科技']","['GoogleZone_tw', 'robot_tw']",['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],1561962121555,2019-07-01
B0310653,Floyd,68747470733A2F2F7777772E6262632E636F6D2F756B6368696E612F747261642F3438373837333036,機器人如何「搶走2000萬工人的飯碗」 - BBC 英倫網,['tech_tw'],['科技'],['robot_tw'],['00000157BC10AABC0000001B6375706F795F72656C65617365494E464C55'],1561955231833,2019-07-01
B0310653,Floyd,68747470733A2F2F7777772E626C6F636B74656D706F2E636F6D2F636F727465782D6C61756E63682D6974732D6D61696E6E65742D6272696E67732D7468652D776F726C642D61692D736D6172742D636F6E74726163742F,「第一個讓智能合約執行 AI 模型的公有鏈」—— Cortex 主網正式上線 | BlockTempo 動區動趨,['tech_tw'],['科技'],"['BlockChain_tw', 'GoogleZone_tw', 'robot_tw']",['00000160DA02BCAB000000016375706F795F72656C65617365494E464C55'],1561955121782,2019-07-01
