mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketgrptitles,bucketids,influencerids,timestamp,logdate
empty,空的,68747470733A2F2F6368696E6573652E656E6761646765742E636F6D2F323031392F30372F32302F7468652D776974636865722D6E6574666C69782F,Netflix 公佈《巫師》預告片,['empty'],['空的'],['empty'],['000001579D7E5CCB000000036375706F795F72656C65617365494E464C55'],1563696924194,2019-07-21
60511345,fy,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31303030302D686964696E672D66726F6D2D6172746966696369616C2D696E74656C6C6967656E63652D696E2D7468652D6167652D6F662D746F74616C2D7375727665696C6C616E6365,想躲過 AI 監控？試試俄國工程師發明的「反臉部識別」特殊化妝 - INSIDE,['tech_tw'],['科技'],['robot_tw'],"['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55', '0000015523AA66920000001161646D696E5F70726572656C65617365494E464C55']",1563720494109,2019-07-21
60511345,fy,68747470733A2F2F7777772E73746F636B6665656C2E636F6D2E74772F2565362538612538302565382561312539332D2565352538372562612565352538662561332D2565372561652561312565352538382562362F3F75746D5F736F757263653D46616365626F6F6B2675746D5F6D656469756D3D706F73742675746D5F63616D706169676E3D464232303139303732315F38,美國最嚴技術出口管制上膛！AI 機器人量子計算面臨封鎖 - StockFeel 股感,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['職場白領', '商業', '科技']","['FinancialManagement_tw', 'robot_tw']",['0000015499D5C650000000096261636B656E645F6C6F63616C494E464C55'],1563720803043,2019-07-21
empty,空的,68747470733A2F2F7777772E73746F726D2E6D672F6C6966657374796C652F343435313430,A片裡的高潮是真的嗎？精液噴到眼睛怎麼辦？SOD王牌女優公開AV拍攝現場祕辛！-風傳媒,['empty'],['空的'],['empty'],['000001579DB7CFCC000000256375706F795F72656C65617365494E464C55'],1563697085017,2019-07-21
B0310653,Floyd,687474703A2F2F33736D61726B65742D696E666F2E626C6F6773706F742E636F6D2F323031392F30372F646565706C656E732D6177732D61692E68746D6C3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B33734D61726B6574426C6F672B25323833532B4D61726B65742B426C6F672B254535254146254236254535254233254236254535254145253839254536253845254137254535254238253832254535254130254234254538254233253837254538254138253841254537254236254232253239,． DeepLens，這是一款整合 AWS 與 AI 服務的攝影機   - 3S Market「全球智慧科技應用」市場資訊網,"['business_tw', 'tech_tw']","['商業', '科技']","['e-commerce_tw', 'robot_tw']",['000001690A4A9B26000000056375706F795F72656C65617365494E464C55'],1563791486826,2019-07-22
empty,空的,687474703A2F2F66696E616E63652E746563686E6577732E74772F323031392F30352F30372F6164642D7461726966662D6A6170616E6573652D656E74657270726973652D70726F64756374696F6E2D7472616E736665722F,日媒：川普對中國加徵關稅，恐加快日本企業生產轉移 | TechNews 科技新報,"['3CExpert_tw', 'InternationalFinance_tw', 'business_tw', 'tech_tw']","['3C達人', '國際財經', '商業', '科技']",['finance_tw'],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],1563776592012,2019-07-22
empty,空的,687474703A2F2F66696E616E63652E746563686E6577732E74772F323031392F30352F30372F7472756D702D6164642D7461726966662D70726F74656374696F6E69736D2D656D657267696E672D6D61726B6574732F,德銀：川普加徵關稅，令美國保護主義超越新興國家 | TechNews 科技新報,"['3CExpert_tw', 'InternationalFinance_tw', 'business_tw', 'tech_tw']","['3C達人', '國際財經', '商業', '科技']",['finance_tw'],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],1563776664107,2019-07-22
empty,空的,687474703A2F2F68636C6F76656E6F74652E626C6F6773706F742E636F6D2F323031392F30372F35302D3130302D323031392D30372D32312E68746D6C,富邦臺灣 50、公司治理 100 該怎麼選？深度解析大廝殺！(2019-07-21 更新) @ HC愛筆記財經,"['InternationalFinance_tw', 'WhiteCollar_tw', 'business_tw']","['國際財經', '職場白領', '商業']","['FinancialManagement_tw', 'finance_tw', 'management_tw']",['00000162D6EF8838000000086375706F795F72656C65617365494E464C55'],1563776209809,2019-07-22
empty,空的,687474703A2F2F7765656B6C792E696E766573742E636F6D2E74772F4D6F62696C652F436F6E74656E74422E6173703F61727469636C654E6F3D323033342D30352D3031264F433D6F70656E,先探雜誌,"['InternationalFinance_tw', 'business_tw']","['國際財經', '商業']",['finance_tw'],['00000162CCCACF3E000000116375706F795F72656C65617365494E464C55'],1563776408160,2019-07-22
empty,空的,687474703A2F2F7765656B6C792E696E766573742E636F6D2E74772F4D6F62696C652F436F6E74656E74422E6173703F61727469636C654E6F3D323033372D31342D3031264F433D6F70656E,美股下一步…續漲或修正？,"['InternationalFinance_tw', 'business_tw']","['國際財經', '商業']",['finance_tw'],['00000162CCCACF3E000000116375706F795F72656C65617365494E464C55'],1563776601926,2019-07-22
B0310653,Floyd,687474703A2F2F7777772E636F6D6D6F6E6865616C74682E636F6D2E74772F61727469636C652F61727469636C652E616374696F6E3F6E69643D3739383438,夫妻變室友？美國1/4「睡眠離婚」 - 康健雜誌,"['Babyhome_tw', 'Fitness_tw', 'Hedonism_tw', 'life_tw']","['親子家庭', '健身瘦身', '享樂女性', '生活']","['gender_tw', 'health_tw']",['00000157BC219ECD000000246375706F795F72656C65617365494E464C55'],1563794290427,2019-07-22
B0310653,Floyd,687474703A2F2F7777772E636F6D6D6F6E6865616C74682E636F6D2E74772F61727469636C652F61727469636C652E616374696F6E3F6E69643D3739383438,夫妻變室友？美國1/4「睡眠離婚」 - 康健雜誌,"['Babyhome_tw', 'Fitness_tw', 'Hedonism_tw', 'life_tw']","['親子家庭', '健身瘦身', '享樂女性', '生活']","['gender_tw', 'health_tw']",['00000157BC219ECD000000246375706F795F72656C65617365494E464C55'],1563794290451,2019-07-22
empty,空的,687474703A2F2F7777772E696E766573746F722E636F6D2E74772F4D6F62696C652F636F6E74656E742E6173703F61727469636C654E6F3D3134323031393034323230303832,大毅宣布減資25%，減資＋配息，股東每股可拿回5元現金,"['InternationalFinance_tw', 'WhiteCollar_tw', 'business_tw']","['國際財經', '職場白領', '商業']","['FinancialManagement_tw', 'finance_tw']",['00000162CCCACF3E000000116375706F795F72656C65617365494E464C55'],1563776385757,2019-07-22
empty,空的,687474703A2F2F7777772E696E766573746F722E636F6D2E74772F4D6F62696C652F636F6E74656E742E6173703F61727469636C654E6F3D3134323031393035303830313030,精華Q1財報低於預期，外資保守看後市，美系喊賣，目標價480元,"['InternationalFinance_tw', 'business_tw']","['國際財經', '商業']",['finance_tw'],['00000162CCCACF3E000000116375706F795F72656C65617365494E464C55'],1563776841094,2019-07-22
empty,空的,687474703A2F2F7777772E696E766573746F722E636F6D2E74772F4D6F62696C652F636F6E74656E742E6173703F61727469636C654E6F3D3134323031393035303830313239,湯石照明OBM基期低，業務成長動能佳，占全年營收比重瞄準2成,"['InternationalFinance_tw', 'WhiteCollar_tw', 'business_tw']","['國際財經', '職場白領', '商業']","['FinancialManagement_tw', 'finance_tw']",['00000162CCCACF3E000000116375706F795F72656C65617365494E464C55'],1563776657211,2019-07-22
B0310653,Floyd,68747470733A2F2F62757A7A6F72616E67652E636F6D2F746563686F72616E67652F323031392F30372F31392F636F6E6E6563742D323031392F,【走向 2030 的未來指南】AI、能源、5G 描繪的關鍵十年，臺灣如何 CONNECT to the Future？ | TechOrange,['tech_tw'],['科技'],"['IoT_TW', 'robot_tw']",['000001579961E1D4000000016375706F795F72656C65617365494E464C55'],1563791668837,2019-07-22
empty,空的,68747470733A2F2F636E2E6E7974696D65732E636F6D2F627573696E6573732F32303139303430382F6368696E612D74726164652D7472756D702D6A6F62732D6465636F75706C696E672F7A682D68616E742F3F75746D5F736F757263653D525353,貿易戰令全球企業重新評估中國 - 紐約時報中文網,"['InternationalFinance_tw', 'business_tw']","['國際財經', '商業']",['finance_tw'],['0000015499D75EB50000000A6261636B656E645F6C6F63616C494E464C55'],1563776530104,2019-07-22
