mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,optype,timestamp,logdate
A4910200,CUPOY,687474703A2F2F33736D61726B65742D696E666F2E626C6F6773706F742E636F6D2F323031392F30382F61695F31322E68746D6C3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B33734D61726B6574426C6F672B25323833532B4D61726B65742B426C6F672B254535254146254236254535254233254236254535254145253839254536253845254137254535254238253832254535254130254234254538254233253837254538254138253841254537254236254232253239,．AI 伺服器的定義、優勢及現狀 - 3S Market「全球智慧科技應用」市場資訊網,['tech_tw'],['robot_tw'],['000001690A4A9B26000000056375706F795F72656C65617365494E464C55'],collect,1565953717975,2019-08-16
A4910200,CUPOY,687474703A2F2F33736D61726B65742D696E666F2E626C6F6773706F742E636F6D2F323031392F30382F61695F31362E68746D6C3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B33734D61726B6574426C6F672B25323833532B4D61726B65742B426C6F672B254535254146254236254535254233254236254535254145253839254536253845254137254535254238253832254535254130254234254538254233253837254538254138253841254537254236254232253239,．這款 AI 算法能看圖診病 讓皮膚癌無處可逃  - 3S Market「全球智慧科技應用」市場資訊網,['tech_tw'],['robot_tw'],['000001690A4A9B26000000056375706F795F72656C65617365494E464C55'],empty,1565945661887,2019-08-16
60511345,fy,68747470733A2F2F62757A7A6F72616E67652E636F6D2F323031392F30382F31362F726F626F742D696E2D6B796F746F2D74656D706C652F,【機器人觀音幫你普渡】日本廟 3 千萬請「機器人唸心經」，旅客稱：有一般機器感受不到的「溫暖」 | BuzzOrange,['tech_tw'],['robot_tw'],['000001579E0FA656000000456375706F795F72656C65617365494E464C55'],empty,1565954909940,2019-08-16
A4910200,CUPOY,68747470733A2F2F62757A7A6F72616E67652E636F6D2F746563686F72616E67652F323031392F30382F31352F61692D6C6561726E696E672D6D6174657269616C2D666F722D686967682D7363686F6F6C2F3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B746563686F72616E67652B253238546563684F72616E6765253239,【由淺入深】開箱臺灣人自製的高中 AI 教材，從演算法到深度學習一次打底 | TechOrange,['tech_tw'],['robot_tw'],['000001579961E1D4000000016375706F795F72656C65617365494E464C55'],empty,1565945769126,2019-08-16
60511345,fy,68747470733A2F2F62757A7A6F72616E67652E636F6D2F746563686F72616E67652F323031392F30382F31362F656E67696E6565722D61692D66726175642F3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B746563686F72616E67652B253238546563684F72616E6765253239,【大騙局】《華爾街日報》拆穿 Engineer.ai 假面具！AI 服務背後全是「印度工程師」 | TechOrange,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['FinancialManagement_tw', 'GoogleZone_tw', 'robot_tw']",['000001579961E1D4000000016375706F795F72656C65617365494E464C55'],empty,1565955403239,2019-08-16
A4910200,CUPOY,68747470733A2F2F7777772E6368656572732E636F6D2E74772F61727469636C652F61727469636C652E616374696F6E3F69643D353039353034342675746D5F736F757263653D66616365626F6F6B5F6368656572732675746D5F6D656469756D3D6461696C79706F73742675746D5F63616D706169676E3D636A656469746F722D66616365626F6F6B5F6368656572732D6461696C79706F73742D636A656469746F72,微軟、Uber都愛用，台大這個系為何是大數據人才搖籃？ - 談工作 - 部落格 - Cheers快樂工作人,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['000001531744BC3A0000000A6261636B656E645F6C6F63616C494E464C55'],empty,1565950518939,2019-08-16
60511345,fy,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31373232362D6170706C652D6D61632D6C696768746E696E672D6361626C652D6861636B2D6D696B652D67726F7665722D6D672D6F6D672D6361626C65732D646566636F6E2D63796265727365637572697479,這條「駭客 Lightning 線」能變 Wi-Fi 熱點，一插就能駭你資料 - INSIDE,['tech_tw'],['info_security_tw'],['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55'],empty,1565955241124,2019-08-16
DA014182,賴煜升,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31373232372D73657074656D6265722D31302D616E2D696F732D31332D636C7565,iOS 13 開發者介面洩蘋果發表會日期！9 月１0 日先記下來 - INSIDE,"['3CExpert_tw', 'tech_tw']",['apple_tw'],['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55'],empty,1565934398524,2019-08-16
60511345,fy,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31373232392D686F6D65706F642D617661696C61626C652D696E2D74616977616E2D7374617274696E672D6672696461792D6175677573742D3233,終於來了！蘋果宣佈： HomePod 8 月 23 日正式在臺上市 - INSIDE,"['3CExpert_tw', 'tech_tw']",['apple_tw'],['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55'],empty,1565955377791,2019-08-16
DA014182,賴煜升,68747470733A2F2F7777772E6E65776D6F62696C656C6966652E636F6D2F323031392F30382F31362F696F732D31332D646576656C6F7065722D626574612D372D2565362561642561332565352562632538662565372539392562632565342562642538382F,iOS 13 Developer Beta 7 正式發佈 - New MobileLife 流動日報,"['3CExpert_tw', 'tech_tw']",['apple_tw'],"['00000152A6D17D2B000000086261636B656E645F6C6F63616C494E464C55', '00000157C1EBFDE3000000016375706F795F72656C65617365494E464C55']",empty,1565934477533,2019-08-16
