mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,optype,timestamp,logdate
01313339,empty,68747470733A2F2F62726969616E2E636F6D2F36303130322F,「英文字彙能力分析大師」隨機單字、克漏字測驗，檢驗你的英語力！ – 重灌狂人,"['3CExpert_tw', 'tech_tw']",[],['00000157B27C554B0000006E6375706F795F72656C65617365494E464C55'],empty,1561431740839,2019-06-25
01313339,empty,68747470733A2F2F6368696E6573652E656E6761646765742E636F6D2F323031392F30362F32342F6D6963726F736F66742D737572666163652D666F6C6461626C652D7461626C65742F,微軟傳說中的雙螢幕平板可以運行 Android 應用？,"['3CExpert_tw', 'tech_tw']",['notebook_tw'],['000001579D7E5CCB000000036375706F795F72656C65617365494E464C55'],empty,1561431082620,2019-06-25
C3411361,empty,68747470733A2F2F667265652E636F6D2E74772F636F6C6F757269736573672F3F75746D5F636F6E74656E743D62756666657234626661322675746D5F6D656469756D3D736F6369616C2675746D5F736F757263653D66616365626F6F6B2E636F6D2675746D5F63616D706169676E3D627566666572,ColouriseSG 讓黑白照片變彩色！以 50 萬張舊相片深度學習的上色工具,"['3CExpert_tw', 'GamePlayer_tw', 'Hipster_tw', 'life_tw', 'tech_tw']","['photography_tw', 'robot_tw']",['000001579E1714A00000004C6375706F795F72656C65617365494E464C55'],empty,1561432042815,2019-06-25
01313339,empty,68747470733A2F2F667265652E636F6D2E74772F73617665636C697062726F2F3F75746D5F636F6E74656E743D62756666657232353537372675746D5F6D656469756D3D736F6369616C2675746D5F736F757263653D66616365626F6F6B2E636F6D2675746D5F63616D706169676E3D627566666572,SaveClipBro 免費線上影片下載器，貼上網址選擇格式快速轉檔,"['3CExpert_tw', 'tech_tw']",['cloud_services_tw'],['000001579E1714A00000004C6375706F795F72656C65617365494E464C55'],empty,1561431318524,2019-06-25
01313339,empty,68747470733A2F2F736179646967692D746563682E636F6D2F323031392F30362F373735392E68746D6C,電冰箱也能模組化？要多大冰箱隨你而定 - Saydigi-Tech | 點子科技,"['3CExpert_tw', 'tech_tw']","['IoT_TW', 'app_tw']",['00000152582BBCF9000000016261636B656E645F6C6F63616C494E464C55'],empty,1561431887095,2019-06-25
empty,空的,68747470733A2F2F746563686E6577732E74772F323031392F30362F32332F667269656E64736869702D61667465722D33302D79656172732D6F6C642F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,為什麼 30 歲以後，真的很難交到真心好友？ | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",[],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1561425434190,2019-06-25
01313339,empty,68747470733A2F2F746563686E6577732E74772F323031392F30362F32342F6170706C652D73616D73756E672D646973706C61792D6F6C65642F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,訂太多用不完，蘋果計劃讓更多產品採用 OLED 以消耗合約用量 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']","['3c_tw', 'apple_tw', 'mobile_tw']",['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1561431137950,2019-06-25
01313339,empty,68747470733A2F2F746563686E6577732E74772F323031392F30362F32342F6D616769632D6C6561702D737565732D6368696E6573652D65782D656D706F6C7965652D666F722D737465616C2D61722D676C61737365732D64657369676E2F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,Magic Leap 將中國前員工告上法院，指控剽竊技術回國開公司 | TechNews 科技新報,"['3CExpert_tw', 'WhiteCollar_tw', 'business_tw', 'tech_tw']",['startups_tw'],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1561431117874,2019-06-25
01313339,empty,68747470733A2F2F746563686E6577732E74772F323031392F30362F32342F6F646D2D6D6967726174696F6E2D63617061636974792D70726F626C656D732F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,ODM 大廠遷移產能面臨多重考量難題 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",[],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1561431136826,2019-06-25
01313339,empty,68747470733A2F2F746563686E6577732E74772F323031392F30362F32342F736F757468656173742D617369612D776F726B696E672D6F766572736561732F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,30 歲新臺幹，前進東南亞 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",[],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1561431369166,2019-06-25
